CrimeDateTime,ASSAULT,BATTERY,WEAPONS VIOLATION,THEFT,CRIMINAL TRESPASS,MOTOR VEHICLE THEFT,CRIMINAL DAMAGE,DECEPTIVE PRACTICE,ROBBERY,PUBLIC PEACE VIOLATION,CRIMINAL SEXUAL ASSAULT,NARCOTICS,OTHER OFFENSE,BURGLARY,OFFENSE INVOLVING CHILDREN,SEX OFFENSE,HOMICIDE,INTERFERENCE WITH PUBLIC OFFICER,CONCEALED CARRY LICENSE VIOLATION,PROSTITUTION,HUMAN TRAFFICKING,OBSCENITY,STALKING,ARSON,LIQUOR LAW VIOLATION,KIDNAPPING,INTIMIDATION,PUBLIC INDECENCY,NON-CRIMINAL,GAMBLING,OTHER NARCOTIC VIOLATION
2021-03-08,48,108,35,94,9,27,59,48,15,2,6,19,40,13,3,6,4,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,,
2021-03-09,56,114,40,90,11,23,71,60,20,2,5,35,38,13,4,0,0,0,1.0,0.0,0.0,0,0,5.0,1.0,0.0,1.0,0.0,0.0,,
2021-03-10,53,110,29,82,8,28,73,52,16,0,3,42,35,15,2,1,4,1,1.0,2.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,,
2021-03-11,42,88,26,90,11,21,47,57,17,3,4,41,30,7,4,3,0,1,1.0,2.0,0.0,0,2,2.0,0.0,0.0,0.0,0.0,0.0,,
2021-03-12,49,94,23,106,15,17,66,45,12,1,7,32,43,10,10,3,1,0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
2021-03-13,39,123,33,83,9,18,73,27,12,2,5,26,31,14,3,4,1,2,0.0,0.0,0.0,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
2021-03-14,41,100,26,64,9,28,75,23,19,1,5,13,33,11,2,2,4,0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
2021-03-15,37,86,18,73,7,19,59,84,17,0,1,25,45,9,3,2,1,2,1.0,0.0,0.0,0,2,3.0,0.0,0.0,1.0,0.0,0.0,0.0,
2021-03-16,49,89,14,79,9,24,48,70,12,4,1,30,39,4,5,1,0,0,0.0,1.0,0.0,2,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,
2021-03-17,57,98,11,74,6,25,51,61,12,4,6,34,42,21,3,4,0,2,2.0,0.0,0.0,0,0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0
2021-03-18,43,78,21,74,5,22,48,53,17,0,1,28,37,15,4,5,0,0,0.0,0.0,0.0,0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-19,43,91,22,97,6,32,71,58,14,1,3,19,27,10,5,2,1,2,0.0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-20,42,106,31,92,8,26,58,52,13,1,3,15,25,12,2,3,1,2,1.0,0.0,0.0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-03-21,53,122,38,82,8,23,81,31,15,2,4,21,42,16,9,0,2,2,1.0,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-22,51,128,27,104,15,23,67,63,12,2,1,27,44,22,9,5,3,2,1.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
